Word,N,Mean,SD
analgesic,22,3.5,1.94569121
analogy,25,1.92,1.730125236
analyst,25,3.76,2.107130751
anatomist,26,3.884615385,1.796149728
anchor,23,5.739130435,1.009833078
anchored,24,2.541666667,1.718927033
anchorman,26,4.115384615,1.840150496
anchovy,28,4.428571429,1.834415265
and,24,1.25,0.896854406
anesthetic,28,3.964285714,1.895064601
angel,25,2.04,1.813835715
anger,25,2.16,1.545962483
angle,23,1.782608696,1.241572381
angler,24,3.833333333,2.31566812
angry,23,2.130434783,1.937766939
angular,24,1.666666667,1.090140265
animal,24,5.958333333,1.545798419
ankle,24,5.833333333,1.711004451
anklet,24,5.708333333,1.458980188
annex,24,2.666666667,1.736229465
announce,23,2.130434783,1.765949341
announcer,27,4.296296296,1.957526202
another,25,2.28,1.968925257
answer,24,2.416666667,2.20506663
ant,25,4.84,1.951068084
ante,22,2.5,1.766082563
anteater,23,3.913043478,1.951993002
antelope,24,3.75,2.005427418
antenna,23,4.695652174,1.987112629
antennae,26,4.538461538,1.902225417
anthem,26,2.846153846,1.993836657
anthill,25,4.12,1.94336478
anthrax,24,3,2.186917624
anthropologist,27,3.555555556,1.928198309
antibiotics,23,4.956521739,1.821045176
antifreeze,25,3.72,1.968925257
antihistamine,23,5.260869565,1.93572611
antique,26,4.423076923,1.858452624
antiques,25,4.68,1.994158135
antiseptic,24,3.833333333,2.160246899
antiseptics,24,5.041666667,2.053187695
anus,25,5.16,1.841195264
anvil,25,5.24,1.963839776
any,24,1.416666667,1.017954755
apart,23,1.782608696,1.241572381
apartment,25,4.6,1.936491673
apartments,27,4.851851852,1.994293854
ape,23,3.869565217,1.841549442
apex,26,1.961538462,1.148242805
apostrophe,21,1.523809524,1.077916862
apothecary,26,4.115384615,2.268513576
apparatus,22,4.636363636,1.813847648
apparel,23,5.695652174,1.987112629
appeal,23,1.652173913,1.112274314
appear,25,1.72,1.307669683
appease,27,1.185185185,0.681459804
appendage,24,5,2
appendectomy,27,2.444444444,1.671787006
appetizer,25,6.12,1.092397974
applaud,24,3.666666667,2.425707726
applause,25,2.88,2.297099621
apple,22,6.272727273,0.767296936
appliance,24,5.791666667,1.744037461
applicant,25,3.84,1.748332539
applicator,27,5.185185185,1.415220479
appraiser,28,4.428571429,1.793580558
apprentice,28,4.321428571,1.678923187
approach,25,2.6,2.041241452
apricot,24,6.291666667,1.160178647
apron,25,5.96,1.513274595
aquarium,23,5.782608696,1.346933276
aqueduct,22,3.045454545,2.170742088
arachnid,21,4.904761905,1.786190413
arbor,21,4,2.121320344
arc,25,2.92,1.913112647
arcade,23,3.652173913,1.84904633
arch,28,3.178571429,1.564740457
archaeologist,25,3.84,1.951068084
archbishop,25,3.6,1.527525232
archdeacon,18,3.666666667,2.086370335
archduke,23,3.347826087,1.92137961
archery,25,3.64,2.138535324
arches,24,3.791666667,2.105462185
archipelago,17,2.352941176,1.578811914
architect,24,4.208333333,2.021174146
architecture,27,3.222222222,2.100061049
archives,24,4.333333333,1.785610763
archivist,25,3.68,1.81934054
arctic,25,2.52,1.805547009
are,25,1.28,0.842614977
area,25,2.88,1.508862706
argue,25,1.68,1.435270009
arise,25,1.92,1.630950643
aristocrat,22,3.863636364,1.833431717
ark,26,4.115384615,1.925137358
arm,23,6.47826087,0.845822097
armada,20,2.55,1.791059669
armadillo,24,3.875,1.825245665
armband,23,5.347826087,1.401580136
armless,25,1.52,1.194431524
armoire,21,4.904761905,1.997617629
armor,27,5.333333333,1.687054785
armory,24,3.375,1.929462642
armpit,25,5.52,1.960442127
army,25,3.48,2.023198787
aroma,25,2.48,2.084066538
aromatic,26,2.384615385,1.72225255
around,27,1.62962963,1.305260014
arouse,24,1.958333333,1.39810949
arrange,23,2.217391304,1.953005184
arrangement,25,3.08,1.934769581
array,24,2.083333333,1.212853863
arrest,25,2.48,2.143206321
arrive,29,1.965517241,1.841636668
arrow,25,4.92,2.019075696
arrowhead,25,4.44,2.042873793
arsenal,24,3.625,1.929462642
arsenic,21,3.476190476,1.721018525
arson,24,2.208333333,1.887698545
art,25,4.16,1.972308292
artery,24,3.583333333,2.019829237
artichoke,24,5.708333333,1.545798419
article,25,3.24,2.184795948
artifact,24,4.416666667,1.909169331
artillery,24,4.166666667,1.926173649
artist,23,4.782608696,1.475759334
arts,24,3.666666667,2.296815691
asbestos,23,4.130434783,1.984126733
ascend,24,2,1.351327849
ash,24,4.333333333,1.833662685
ashcan,21,4.571428571,1.963961012
ashes,29,4.862068966,1.684469775
ashtray,25,5.44,1.781385229
asinine,24,1.416666667,1.176459932
ask,27,2.074074074,1.662387669
asleep,24,2.625,2.222659981
asparagus,25,5.56,1.529705854
aspect,25,1.44,1.260952021
aspen,26,3.153846154,1.804268443
asphalt,26,5.384615385,1.601921923
asphyxiate,21,2.476190476,1.833549771
asphyxiation,23,2.434782609,1.804693048
ass,23,5.304347826,1.607787373
assailant,25,4.24,2.087262961
assassin,25,4.32,1.908751774
assassination,27,2.222222222,1.783111656
assault,24,1.916666667,1.529895327
assembly,24,2.583333333,1.791687732
assemblyman,25,4.72,1.968925257
asset,25,3.56,1.938212235
asshole,24,4.5,1.933683127
assign,27,1.703703704,1.612804886
assignment,23,2.47826087,1.441891599
assist,25,1.88,1.332916602
asterisk,25,1.76,1.331665624
asteroid,24,2.083333333,1.742478661
asthma,26,3,2.19089023
astringent,26,3.384615385,2.246364584
astrologer,24,4.125,1.541103501
astronaut,28,4.357142857,1.889822365
astronomer,23,4.086956522,2.172410548
astrophysicist,23,3.608695652,2.481552491
asymmetrical,23,1.347826087,1.112274314
at,24,2,2.105892354
ate,24,2.416666667,2.124733572
athlete,24,4.916666667,1.791687732
athletics,27,3.222222222,2.063106943
atlas,24,5.166666667,1.711004451
atom,23,2.608695652,2.310826897
atomizer,22,3.454545455,2.219551064
attach,24,2.083333333,1.585715218
attack,24,1.958333333,1.488482351
attempt,24,1.958333333,1.39810949
attend,25,2.08,1.800925688
attendant,24,5.083333333,1.529895327
attic,24,4.125,1.596531567
attire,23,5.086956522,2.087038865
attorney,25,4.72,2.031419865
attract,25,2.32,1.930457631
auction,24,2.833333333,2.119611668
auctioneer,27,3.703703704,1.659814976
audible,27,1.740740741,1.258588727
audience,22,3.818181818,2.038588766
audit,24,1.791666667,1.250362266
audition,25,2.56,2.12289111
auditorium,28,4.392857143,1.314852075
aunt,24,5.041666667,1.876146992
aura,27,1.925925926,1.439175136
authentic,26,1.384615385,1.061203961
author,25,4.4,2.273030283
auto,23,4.391304348,2.463167407
autobiography,25,4,2.160246899
autograph,25,3.56,1.781385229
autographed,28,1.964285714,1.835496559
automobile,25,5.64,1.753092506
automotive,22,4.454545455,2.324348813
autumn,25,2.4,2.081665999
avalanche,27,2.925925926,1.639088066
avenue,27,3.444444444,2.100061049
aviator,23,4.086956522,2.294520023
avocado,29,6.24137931,1.184880115
avoid,24,1.791666667,1.284664283
awake,25,2.08,1.777638883
award,23,4.217391304,1.929590671
away,29,1.655172414,1.541702724
awning,23,4.565217391,1.949967062
awoke,26,1.730769231,1.511494421
ax,25,6.08,1.222020185
axe,26,6.153846154,1.61721508
axes,24,4.833333333,1.948615265
axis,25,2.16,1.724335621
axle,21,4.904761905,1.757975026
aye,21,1.285714286,0.783763813
azalea,19,5.263157895,1.995609215
babble,25,2.4,1.914854216
babe,27,4.555555556,1.867399124
baboon,24,4.25,2.069446471
baby,21,6.285714286,1.10194633
bachelor,26,3.730769231,2.324782868
back,24,3.916666667,2.465706825
backache,27,2.962962963,2.156947299
backbend,25,2.2,1.707825128
backboard,23,4.565217391,2.370770626
backbone,25,4.64,2.360790828
backdoor,25,5.2,1.957890021
backdrop,24,4.041666667,2.074255585
backgammon,23,4.869565217,1.890270491
background,23,2.043478261,1.965110704
backless,24,1.583333333,0.880546602
backpack,25,5.72,1.242309677
backpedal,25,3.04,2.130727575
backroom,24,3.5,1.532261755
backscratcher,25,5.52,1.326649916
backside,25,4.24,2.203784623
backstage,24,2.625,1.526932133
backstroke,27,2.481481481,1.672638872
backward,23,2.130434783,1.961083834
backwash,23,2.739130435,1.959067294
bacon,24,5.916666667,1.176459932
bacterium,23,2.217391304,1.475759334
bad,27,1.888888889,1.804552647
badge,25,5.72,1.671326818
badger,23,3.304347826,2.141256696
badminton,25,4.92,1.846618531
bag,26,6.038461538,1.708350531
bagful,27,4.074074074,2.0177277
baggage,29,5.965517241,1.085052949
bagged,24,1.708333333,1.122077525
bagpipe,21,5.761904762,1.261140829
bagpipes,25,5,1.936491673
bail,25,3.48,2.417298768
bailiff,24,3.625,1.883855898
bait,24,4.375,1.714706211
baits,23,3.782608696,1.929590671
bake,24,2.791666667,2.021174146
baking,25,3,2.254624876
baklava,22,5.454545455,1.370688834
balance,25,3.76,2.005824851
balcony,23,4.739130435,2.178769279
bald,23,2.739130435,2.178769279
baldness,22,2.772727273,1.849885921
bale,22,3.318181818,1.9612038
balk,24,2.208333333,1.744037461
ball,23,6.608695652,0.891328449
ballad,25,2.32,1.676305461
ballast,19,3.473684211,2.010207868
ballerina,23,4.695652174,2.009857132
ballet,24,2.25,1.45213486
balloon,21,5.523809524,1.569045813
balloonist,29,4.275862069,1.906690321
ballot,23,4.434782609,2.1068306
ballplayer,25,4.56,1.73397424
ballroom,26,3.615384615,1.444352397
balm,24,4.583333333,1.742478661
balmy,24,2.041666667,1.267629306
balsam,21,3.714285714,1.82051798
bamboo,25,5.68,1.70098011
banana,28,6.107142857,1.448863813
band,26,4.384615385,2.060619772
bandage,23,6.304347826,0.875670268
bandit,23,3.782608696,1.999011613
bandmaster,26,3.807692308,2.039984917
bandstand,22,4.227272727,1.797665634
bang,25,2.08,1.6563011
banging,27,2.444444444,2.100061049
bangle,26,5.115384615,1.966253759
banister,23,5.130434783,1.765949341
banjo,24,6.291666667,1.122077525
bank,25,4.72,2.300724524
bankbook,22,5.363636364,2.150203856
banknote,23,4.52173913,2.352359844
bankroll,23,3.52173913,2.192333029
bankrupt,22,1.363636364,0.789542034
banner,22,3.909090909,1.874873733
banquet,26,4.538461538,1.94382652
banshee,22,2.181818182,1.531770331
banter,27,3.703703704,2.41493454
baptize,23,2.391304348,1.802501556
barb,22,3.636363636,1.705605731
barbecue,24,4.833333333,1.833662685
barbed,25,3.16,1.993322185
barber,24,4.958333333,1.731527766
bare,25,1.92,1.605199884
barefooted,25,2.64,2.23383079
bareheaded,24,1.958333333,1.39810949
bargain,25,2.64,1.912241268
barge,23,4.086956522,2.172410548
baritone,23,3.043478261,2.010840188
bark,27,3.592592593,2.274596486
barkeep,23,4.260869565,2.049775848
barking,24,1.916666667,1.558055272
barley,24,4.541666667,1.887698545
barman,22,4.818181818,1.893255288
barn,23,5.173913043,2.124578545
barnacle,23,4.260869565,2.027479207
barnyard,22,3.045454545,1.731425857
barometer,23,3.782608696,2.087985583
barrack,25,4.04,1.645195024
barracuda,25,3.92,1.754042949
barrel,23,5.304347826,1.607787373
barren,23,2.260869565,2.049775848
barrette,18,6,1.495090003
barricade,25,4.28,1.671326818
bartender,25,4.64,1.439907404
barter,23,2.217391304,1.782656897
base,24,3.416666667,2.145098896
baseball,27,6.037037037,1.531250908
baseboard,24,5.375,1.929462642
basement,25,4.6,1.779513042
bash,25,2.28,1.860107524
basil,24,5.916666667,1.442120018
basin,22,4.818181818,1.867934016
bask,22,1.727272727,1.077113346
basket,23,6.391304348,1.469048252
basketball,24,6.25,0.944089163
basketful,28,3.892857143,2.148889217
bass,27,4.37037037,2.114931316
bassinet,24,5.375,1.78915817
bastard,28,3.25,1.917270436
baste,22,1.909090909,1.630340044
basting,21,2.571428571,2.014235055
bat,24,5.041666667,1.82921144
batch,27,2.592592593,1.525658981
bath,28,5.964285714,1.710147121
bathe,28,5.214285714,2.061231974
bathing,22,4,2.449489743
bathroom,24,6,1.179535649
bathtub,23,6.565217391,0.992063367
batman,23,2.173913043,1.749082199
baton,23,5.913043478,1.311246578
