Word,Mean,SD,Median,Min,Max,N
converse,6.095238095238095,1.9469145308606104,7,1,7,21
convert,3.8333333333333335,2.160246899469287,4.5,1,7,24
convey,3.65,2.0332758116683998,4,1,7,20
conviction,5.363636363636363,1.9406786870148718,6,1,7,22
convince,5.04,2.051016008388688,6,1,7,25
convoy,4.590909090909091,1.9678146183760228,5,1,7,22
cookbook,2.9565217391304346,2.120854477661072,2,1,7,23
cookout,4.416666666666667,2.165272684236664,5,1,7,24
cool,4.391304347826087,2.230758746476238,4,1,7,23
coolant,1.5,0.9235481451827989,1,1,4,18
cooler,2.0952380952380953,1.5461164867099084,1,1,6,21
cooperate,6.541666666666667,1.2150922908825974,7,2,7,24
cooperative,5.958333333333333,1.5736738147920994,7,2,7,24
coordinate,4.476190476190476,1.8335497707738293,5,1,7,21
coordination,4.7,1.688973528196155,5,1,7,20
coordinator,5.25,1.7754362599213407,6,1,7,24
cope,3.6923076923076925,2.1683031295320454,3.5,1,7,26
copier,2.5454545454545454,1.8702501163843028,1.5,1,6,22
copilot,5.238095238095238,1.9469145308606104,6,1,7,21
copycat,4.782608695652174,2.0661013294505457,5,1,7,23
copyright,3.8421052631578947,2.4097754135727354,3,1,7,19
corduroy,1.65,1.2258187382102494,1,1,6,20
corkscrew,1.55,0.8870412083230169,1,1,4,20
cornbread,2.130434782608696,1.6040955487888708,1,1,6,23
cornerstone,2.176470588235294,1.8109146210426053,1,1,7,17
cornfield,1.4545454545454546,0.9625003513801574,1,1,5,22
cornflakes,1.6818181818181819,1.249242194534775,1,1,5,22
corny,3.857142857142857,2.0318886358684694,3,1,7,21
coronary,2.9047619047619047,2.119074371152695,2,1,7,21
coronation,5.857142857142857,1.424279266355945,7,3,7,21
corporal,4.714285714285714,1.927248223318863,5,1,7,21
corporate,6.2,1.3844373104863459,7,2,7,25
corporation,5.7727272727272725,1.8498859213686454,7,1,7,22
corps,3.6666666666666665,2.3514701283890216,4,1,7,18
correct,3.4285714285714284,1.9123657749350298,4,1,7,21
correction,3.5238095238095237,2.0154167712671147,3,1,7,21
corrective,3.0454545454545454,2.0581376863394576,2.5,1,7,22
correlation,2.869565217391304,1.841549442134554,2,1,7,23
correspond,4.636363636363637,2.2370357628632145,5,1,7,22
correspondence,5.434782608695652,2.0851441405707476,7,1,7,23
correspondent,4.863636363636363,2.0306099141333434,5,1,7,22
corridor,2.5416666666666665,2.2453655975512468,1,1,7,24
corroborate,4.65,1.9808291724745766,5,1,7,20
corruption,5.5,2.043015673820997,7,1,7,24
cortisone,1.6111111111111112,1.0921586228732252,1,1,5,18
cosmetic,3.4782608695652173,2.2129693178128402,4,1,7,23
cosmic,2.8636363636363638,2.3963355863535143,1.5,1,7,22
cosmopolitan,5.1,2.074912807299318,6,1,7,20
cosmos,2.8333333333333335,2.255711704566354,2,1,7,18
cost,3,2.226324715563845,2,1,7,24
costly,2.5652173913043477,1.6466518911393766,2,1,7,23
costume,4.2,1.8524521444205841,5,1,7,20
cottage,2.869565217391304,1.8166990000869698,2,1,6,23
cotton,1.5,0.9128709291752769,1,1,4,22
couch,2.4782608695652173,1.9509802947933474,2,1,7,23
cough,3,1.970368732287556,3,1,7,18
council,5.666666666666667,1.983263304085802,7,1,7,21
councilman,5.956521739130435,1.3973436119868565,7,3,7,23
counsel,5.380952380952381,1.8835124230062958,6,1,7,21
counseling,6.05,1.5719582155957412,7,2,7,20
counselor,5.565217391304348,1.5322617553657476,6,3,7,23
count,2.8846153846153846,1.861760953010307,2.5,1,7,26
countdown,2.9565217391304346,2.0108401877995092,3,1,7,23
counteract,4.291666666666667,1.6279933411536363,4.5,1,7,24
counterattack,5.363636363636363,1.81384764796917,6,1,7,22
counterfeit,3.619047619047619,2.085094493690645,3,1,7,21
counterpart,3.0952380952380953,1.9976176286957898,3,1,7,21
countess,5.1,2.149663376340339,5.5,1,7,20
countless,2.2916666666666665,1.756458063130524,1,1,7,24
country,6.090909090909091,1.6008655667389946,7,1,7,22
countryside,3.75,2.151844507070317,4,1,7,24
county,4.714285714285714,2.194148061158525,5,1,7,21
coup,4.684210526315789,2.23737523746384,5,1,7,19
coupling,4.041666666666667,2.561914478881262,4.5,1,7,24
coupon,2.6363636363636362,2.012945118960786,2,1,7,22
courage,5.5,1.8881783261398664,6,1,7,24
courageous,5.043478260869565,2.055552588159142,6,1,7,23
courteous,5.476190476190476,2.2275333357561142,7,1,7,21
courtesy,4.56,2.0428737928059415,5,1,7,25
courthouse,4.863636363636363,2.2317077498004707,5.5,1,7,22
courtroom,6.2727272727272725,1.5486343655842065,7,1,7,22
courtship,5.142857142857143,1.9309509130403675,6,1,7,21
courtyard,3.619047619047619,1.9868616075658234,4,1,7,21
cousin,5.954545454545454,1.3619759010270172,6.5,3,7,22
covenant,3.590909090909091,2.48153352949515,3,1,7,22
coverage,3.15,1.7851728502481652,3.5,1,7,20
covert,3.5217391304347827,1.9038135226050252,3,1,7,23
covet,3.2,1.880649383926509,3,1,6,20
coveted,3.5714285714285716,1.9383350734955134,3,1,7,21
coward,4.478260869565218,2.04204810773603,5,1,7,23
cowardice,4.304347826086956,1.5206094056091055,4,1,7,23
cowardly,4.181818181818182,2.363136810346702,4.5,1,7,22
cowgirl,4.863636363636363,1.698611605188598,5,1,7,22
coy,5,1.8439088914585775,5,1,7,21
coyote,1.7826086956521738,1.5942088872806428,1,1,7,23
cozy,2.619047619047619,1.8296499795368095,2,1,7,21
crab,1.6521739130434783,1.6681153124565982,1,1,7,23
crabby,3.0476190476190474,1.8296499795368095,3,1,7,21
cracker,2.2916666666666665,1.756458063130524,1.5,1,7,24
crackle,2,1.5,1,1,6,17
crackpot,3.16,1.885912687975418,3,1,7,25
craft,3.5217391304347827,1.974141130107224,3,1,7,23
craftsman,4.95,1.7312909694943341,5,1,7,20
craftsmanship,3.8947368421052633,2.078854835456431,5,1,7,19
crafty,4.260869565217392,1.7113894223527009,5,1,7,23
cram,1.9473684210526316,1.26814318375447,1,1,4,19
cranberry,1.1818181818181819,0.39477101697586137,1,1,2,22
cranial,2.857142857142857,1.9566735620873066,2,1,7,21
crank,2.1363636363636362,1.753783788201264,1,1,7,22
cranky,3.85,1.8715318802914815,4.5,1,7,20
crappy,2.6956521739130435,1.794810261146784,3,1,7,23
crave,3.1666666666666665,1.88048714009375,2.5,1,7,24
crayon,1.9565217391304348,1.7704201060140095,1,1,7,23
craziness,4.6521739130434785,1.6681153124565982,5,1,7,23
crazy,4.217391304347826,2.3346504846283724,4,1,7,23
creaking,1.6818181818181819,1.3933981633253438,1,1,7,22
creamed,2.05,1.6050905860647506,1,1,6,20
creamer,1.68,1.3140268896284681,1,1,7,25
creamy,1.72,1.2083045973594573,1,1,5,25
create,4.380952380952381,2.0365704131257156,5,1,7,21
creation,4.619047619047619,2.1089378956287566,5,1,7,21
creative,4.875,1.895360468182194,5,1,7,24
creator,4.863636363636363,1.753783788201264,5,1,7,22
creature,2.8260869565217392,2.4799591989503575,1,1,7,23
credibility,5.285714285714286,1.8477785890862883,6,1,7,21
credible,3.5454545454545454,2.0407111908602267,3,1,7,22
credit,4.409090909090909,2.1747269321542944,5,1,7,22
creed,4.333333333333333,2.315668119696713,4.5,1,7,24
creep,3.7,2.129986409642831,3,1,7,20
creeper,3.4347826086956523,2.1705903461023883,3,1,7,23
creepy,4.086956521739131,2.0206444399174166,4,1,7,23
cremation,3.7083333333333335,1.8761469921708918,3.5,1,7,24
crescent,2.090909090909091,1.540225429050687,1,1,7,22
cretin,4.619047619047619,2.1789031753657726,5,1,7,21
crevice,2.090909090909091,1.3419634126405238,2,1,6,22
crewman,4.625,2.102017664262022,5,1,7,24
cricket,4.714285714285714,2.49284690951645,6,1,7,21
crime,5.304347826086956,1.7693034738587656,5,1,7,23
criminal,5.761904761904762,1.7861904127153383,7,1,7,21
cringe,4.842105263157895,2.386609819963988,6,1,7,19
cripple,4.2272727272727275,1.8239626714491246,4,1,7,22
crippling,3.1578947368421053,2.2425966570210236,3,1,7,19
crisis,5.045454545454546,1.785584410861522,5,1,7,22
critical,3.608695652173913,1.9711355849030645,4,1,7,23
criticism,5.666666666666667,1.5227739752537621,6,2,7,24
critique,5.304347826086956,1.917260892018413,6,1,7,23
critter,1.95,1.3168942730211068,1.5,1,6,20
crocodile,1.0869565217391304,0.2881040655200304,1,1,2,23
croissant,1.4285714285714286,1.121223821162776,1,1,6,21
crooked,3,1.8829377433825436,3,1,7,23
crop,2.9545454545454546,2.2567839048242067,2,1,7,22
croquet,3.2857142857142856,2.101020160371079,4,1,7,21
crossbow,2.6666666666666665,1.7416467303484175,2,1,7,21
crossfire,3.772727272727273,2.1141657857644396,3.5,1,7,22
crossover,3.7142857142857144,2.02837021134844,4,1,7,21
crosswalk,3.9047619047619047,1.894855189843327,4,1,7,21
crossword,2.380952380952381,1.5321941938341392,2,1,6,21
crowded,6,1.7320508075688772,7,1,7,23
crucial,2.608695652173913,1.725191173458825,2,1,7,23
crucifix,3.45,2.258900524358558,3.5,1,7,20
crucifixion,4.954545454545454,2.1264160039007,5,1,7,22
crucify,3.8421052631578947,2.115108557622118,4,1,7,19
crud,2.5789473684210527,1.804801911989365,2,1,7,19
crude,2.4761904761904763,1.6917165134574887,2,1,6,21
cruel,4.791666666666667,2.166527308784762,5.5,1,7,24
cruelty,4.708333333333333,1.9886453039512944,5,1,7,24
crummy,2.6818181818181817,1.6442211540614613,2.5,1,7,22
crunch,2.5,1.841549442134554,2,1,7,24
crusade,4.904761904761905,1.9976176286957898,6,1,7,21
crusher,2.4583333333333335,1.3824731042801415,2,1,5,24
crusty,1.9047619047619047,1.5781242633190171,1,1,7,21
crybaby,3.727272727272727,1.9562310259373321,3,1,7,22
cryptic,2.5,1.9456912102680337,2,1,7,22
crystal,1.7391304347826086,1.5140971298358223,1,1,7,23
cubic,1.391304347826087,0.6563764465043606,1,1,3,23
cucumber,1.3478260869565217,0.5727680517510726,1,1,3,23
cuddle,6.5,1.2630273533214138,7,2,7,22
cue,3.25,1.996707816698066,3,1,7,20
culinary,3.4782608695652173,2.1292244686609876,4,1,7,23
culprit,4.95,2.0124611797498106,5.5,1,7,20
cult,6.416666666666667,1.176459931750543,7,3,7,24
cultivate,4,1.841549442134554,4,1,7,24
culture,6.416666666666667,1.017954755408103,7,4,7,24
cultured,5,1.61245154965971,5,1,7,21
cunning,4.363636363636363,1.989148047961729,5,1,7,22
cupboard,1.4761904761904763,0.8135752957807666,1,1,4,21
cure,4.157894736842105,2.1670040223194182,5,1,7,19
curfew,4.666666666666667,2.315668119696713,5,1,7,24
curiosity,4.809523809523809,1.7498299237082333,5,1,7,21
current,3.5,2.1767166186932183,4,1,7,22
curriculum,4.55,2.258900524358558,5,1,7,20
curse,3.260869565217391,2.280697487100818,2,1,7,23
curt,4.894736842105263,1.9690589078176763,5,1,7,19
curtain,1.5454545454545454,1.184313050927584,1,1,5,22
curve,1.75,1.446411166701189,1,1,5,20
curved,1.7083333333333333,1.3981094896064243,1,1,7,24
cushion,2.3333333333333335,1.3165611772087666,2,1,5,21
cuss,4,2.1143765594836976,4,1,7,18
custard,1.7619047619047619,1.4108423691100969,1,1,5,21
custodial,4.826086956521739,2.01476761378314,5,1,7,23
custodian,4.619047619047619,1.6575943555704598,5,1,7,21
custody,4.136363636363637,1.6415861825701368,4,1,7,22
custom,3.3181818181818183,2.1018441706627344,3.5,1,7,22
customary,4.565217391304348,1.8787347521070408,5,1,7,23
customized,2.739130434782609,1.9821336370034972,2,1,7,23
cute,4.9523809523809526,1.9615348703551125,5,1,7,21
cutie,4.714285714285714,1.901127485016645,5,1,7,21
cutthroat,3.9523809523809526,2.1089378956287566,4,1,7,21
cyberspace,4.782608695652174,2.173320077232704,5,1,7,23
cyclone,2.95,2.211810403980842,2.5,1,7,20
cylinder,1.565217391304348,1.036869719024164,1,1,5,23
cynic,4.7727272727272725,2.1141657857644396,5,1,7,22
cynicism,4,2.04939015319192,4,1,7,21
dab,3.4761904761904763,1.8606194564995717,4,1,7,21
daddy,6,1.6236882817719773,7,1,7,23
daily,3.238095238095238,2.3001035173392066,3,1,7,21
damage,2.8333333333333335,1.9034674690672024,2.5,1,7,24
damnation,4.318181818181818,2.1687469201046037,4.5,1,7,22
damper,2.409090909090909,1.816828500675229,2,1,7,22
dance,5.608695652173913,2.0167284586402126,7,1,7,23
dancer,5.363636363636363,1.5289415743128767,6,1,7,22
dandruff,1.6842105263157894,1.1572300058975777,1,1,5,19
dandy,3.9130434782608696,1.7558484993213879,4,1,7,23
danger,4.045454545454546,1.9142889448832339,4,1,7,22
dangerous,3.65,2.1095023109728985,4,1,7,20
dangle,2.1818181818181817,1.7898221150335591,1,1,7,22
dare,4.333333333333333,2.309401076758503,4,1,7,21
daredevil,3.869565217391304,2.1596369186864166,3,1,7,23
daresay,3.2222222222222223,2.1019754169815523,2.5,1,7,18
darken,1.9565217391304348,1.744556751977294,1,1,7,23
darkened,2.1904761904761907,2.0400746951777924,1,1,7,21
darkness,2.0869565217391304,1.50493260127733,1,1,6,23
darkroom,2.090909090909091,1.7432616094439293,1,1,6,22
darling,5.2727272727272725,1.8304779022564983,6,1,7,22
darn,2.1904761904761907,1.3273676061682242,2,1,5,21
dash,2.375,1.8371173070873836,1,1,6,24
dashboard,1.5454545454545454,0.9625003513801574,1,1,4,22
dashing,3.869565217391304,2.3414127014977897,4,1,7,23
date,5.173913043478261,2.2289861925638563,6,1,7,23
dawdle,4.444444444444445,2.228748586412992,5,1,7,18
daybreak,2.227272727272727,1.4778303975702638,1,1,5,22
daydream,3.347826086956522,1.8490463304135487,3,1,7,23
daylight,2.8260869565217392,2.187821122674826,1,1,7,23
daze,3,1.7728105208558367,3,1,7,22
dazzle,3.263157894736842,1.8511889651776021,4,1,6,19
deactivate,2,1.023532631438318,2,1,4,22
deadline,3.9166666666666665,2.357534944490273,4,1,7,24
deadly,3.75,2.1315436333487443,4,1,7,24
deaf,3.8260869565217392,2.1669453555438456,4,1,7,23
deafening,2.782608695652174,1.704446637451859,3,1,6,23
deal,4.695652173913044,2.0098571321612897,5,1,7,23
deathbed,4.291666666666667,2.01038968030247,4.5,1,7,24
deathly,3.92,2.1587033144922905,4,1,7,25
debacle,3.65,1.8431951662948316,4,1,7,20
debatable,4.565217391304348,1.9731397903876622,5,1,7,23
debate,6.181818181818182,1.2203186015043321,7,2,7,22
debauchery,4.571428571428571,2.0632844828435215,5,1,7,21
debrief,4.136363636363637,2.2529442016520465,4,1,7,22
debriefing,4.130434782608695,1.841549442134554,4,1,7,23
debris,1.3181818181818181,0.7798878818298873,1,1,4,22
debt,5.190476190476191,1.9651729597938097,6,1,7,21
debut,3.5454545454545454,2.219551064158454,3,1,7,22
decade,2.9,2.2687812633774618,2,1,7,20
decadence,3.3333333333333335,2.0816659994661326,3,1,7,21
decadent,3,1.8257418583505538,3,1,7,22
decathlon,4.25,2.0742785683093214,4.5,1,7,20
decaying,3.1904761904761907,2.3370718349902644,2,1,7,21
deceit,5.75,1.7434086394791457,6,1,7,20
deceitful,4.8,1.9628121608924702,5,1,7,20
deceive,5.2727272727272725,1.6382865085151266,6,2,7,22
decency,4.739130434782608,2.0274792074788075,5,1,7,23
decent,4.739130434782608,2.220102194706521,5,1,7,23
deception,4.521739130434782,2.04204810773603,5,1,7,23
deceptive,5,1.7994708216848747,5,1,7,22
decide,3.6666666666666665,2.1802805297497376,3.5,1,7,24
decipher,2.9473684210526314,1.9571431620413327,3,1,7,19
decision,3.9583333333333335,1.9444271910897757,4,1,7,24
decisive,4.458333333333333,1.5030162910010298,4.5,1,7,24
declaration,5,2.15322168769582,5,1,7,23
declare,4.045454545454546,1.8892496048071756,4,1,7,22
decline,2.9565217391304346,2.0775479618042128,2,1,7,23
decode,2.5238095238095237,1.9651729597938097,1,1,7,21
decoder,2.857142857142857,1.8244372909397102,3,1,6,21
decompose,1.826086956521739,1.6139216471080473,1,1,7,23
decomposition,2.260869565217391,1.7637097087556368,2,1,7,23
decompress,3.0952380952380953,2.0713464679952,3,1,7,21
decompression,2.3333333333333335,1.307725096316589,2,1,5,24
decontamination,3.619047619047619,2.060975266134712,4,1,7,21
decor,3.1739130434782608,1.8253810041404177,3,1,7,23
decorate,3.0434782608695654,2.055552588159142,3,1,7,23
decoration,2.3636363636363638,1.9650628136199264,1,1,7,22
decorative,3.6956521739130435,2.0765964857012733,4,1,7,23
decorator,3.347826086956522,2.1869176243407464,3,1,7,23
decorum,4.052631578947368,2.391505434995713,5,1,7,19
decrease,2.260869565217391,1.2869057782967013,2,1,5,23
decree,3.772727272727273,2.1587434215703265,4,1,7,22
decryption,2.909090909090909,1.508991808147505,3,1,6,22
dedicate,4.375,1.8838558977475588,5,1,7,24
deduce,2.4166666666666665,1.5012072436561839,2,1,7,24
deduct,2.3043478260869565,1.428119634939456,2,1,6,23
deductible,2.857142857142857,2.056349053193895,2,1,7,21
deduction,2.652173913043478,1.824298013238714,2,1,7,23
deem,2.761904761904762,1.841324574993825,2,1,7,21
deep,2.5,1.8451996923807203,1.5,1,7,22
default,2.8095238095238093,1.7781745588959375,3,1,7,21
defeat,4.64,1.8903262505010434,5,1,7,25
defeated,3.5454545454545454,1.7654696590094991,3.5,1,7,22
defect,1.8333333333333333,1.3405601251996728,1,1,5,24
defective,2.090909090909091,1.6877454928053721,1,1,7,22
defend,5.083333333333333,1.6918388932104942,5,2,7,24
defendant,4.681818181818182,2.0091780749342596,5,1,7,22
defender,5.217391304347826,1.7309094230577289,6,2,7,23
defense,4.7727272727272725,1.8754508837386323,5,1,7,22
defer,3.526315789473684,2.2203208239809644,3,1,7,19
defiance,5.608695652173913,1.6442497718573552,6,1,7,23
defiant,4.35,1.5652475842498528,4.5,1,7,20
deficient,3.1818181818181817,1.8162327215148666,3,1,6,22
deficit,3,2.0291986247835694,2.5,1,7,18
define,2.9523809523809526,1.774153050787628,3,1,7,21
definite,2.409090909090909,1.221205138927114,3,1,4,22
definition,2.4782608695652173,1.7547225944288771,2,1,6,23
definitive,2.142857142857143,1.8516401995451028,1,1,7,21
deflect,3,2.1157009420498154,2.5,1,7,22
deformity,3.28,1.9476481543988722,3,1,7,25
defuse,2.6666666666666665,1.7856107630448046,2,1,7,24
defy,4.478260869565218,1.997033372903447,5,1,7,23
degrade,4.454545454545454,2.017241698276156,5,1,7,22
degree,3.380952380952381,2.0365704131257156,3,1,7,21
dehydration,1.8181818181818181,1.4354811251305468,1,1,7,22
delay,2.590909090909091,1.7636296692870674,2,1,7,22
delegate,5.5,1.6059101370939324,6,1,7,20
delegation,5.157894736842105,1.675415633166782,5,2,7,19
delete,2.5652173913043477,1.8543826945551485,2,1,7,23
delicacy,4.2727272727272725,1.8563101696342252,4.5,1,7,22
delicate,3,1.9518001458970664,3.5,1,7,22
delight,4.130434782608695,2.1384860368130227,4,1,7,23
delighted,3.8333333333333335,1.9486152645597752,3.5,1,7,24
delightful,4,2.1105794120443453,4,1,7,23
deliver,4.631578947368421,1.8918106058538346,5,1,7,19
delta,1.7916666666666667,1.3824731042801415,1,1,5,24
delusion,2.6956521739130435,1.8199596051634985,2,1,7,23
demand,4.916666666666667,1.9318084941243567,5,1,7,24
demeanor,5.130434782608695,2.073739438048328,6,1,7,23
demented,4.681818181818182,1.7562504332855222,5,1,7,22
demise,3.727272727272727,1.8817878576304878,4,1,7,22
democracy,6.6521739130434785,0.8316847989130756,7,4,7,23
democrat,6.363636363636363,0.9534625892455924,7,3,7,22
democratic,6.142857142857143,1.590148241067929,7,1,7,21
demolish,2.2,1.5761378513048248,2,1,6,20
demolition,2.65,1.9808291724745766,2,1,7,20
demon,3.130434782608696,2.2624272529959533,2,1,7,23
demonic,3.4,2.326053807586891,4,1,7,20
demonstrate,5.105263157894737,2.378018242199567,6,1,7,19
demonstration,5.76,1.2342339054382412,6,3,7,25
denial,3.4583333333333335,1.9776834640705199,3,1,7,24
denim,1.7727272727272727,1.3068252399583533,1,1,5,22
denominator,2.1904761904761907,1.9395630337539334,1,1,7,21
denounce,3.75,2.197486602557807,3.5,1,7,20
dense,2.8260869565217392,1.9691293395130816,2,1,7,23
density,1.7727272727272727,1.1518853358037973,1,1,5,22
dent,2,1.6222142113076254,1,1,6,20
dental,3.380952380952381,2.3974192473614306,3,1,7,21
dentist,5.2727272727272725,1.8563101696342252,6,1,7,22
deny,3.772727272727273,1.743882318599951,4,1,7,22
deodorant,3.3043478260869565,2.3824125016594504,2,1,7,23
depart,3.0869565217391304,1.85651294533745,3,1,7,23
department,4.111111111111111,2.1662895599426086,4.5,1,7,18
departmental,3.6666666666666665,2.265686062395524,4,1,7,21
departure,3.9523809523809526,1.8567765206451334,4,1,7,21
depend,4,2,5,1,7,21
dependency,5.545454545454546,1.9451349011186303,7,1,7,22
depict,3.130434782608696,2.117123860036341,2,1,7,23
deploy,4.333333333333333,2.243509156061845,5,1,7,21
deployment,4.238095238095238,1.9976176286957898,5,1,7,21
deport,4.714285714285714,2.02837021134844,5,1,7,21
depose,3.95,2.235479461111784,4,1,7,20
deposit,2.6956521739130435,1.5792628490042622,2,1,7,23
deposition,3.5,1.7013926184468013,3.5,1,7,20
depository,2.6,1.8467610337532774,2,1,7,20
depravity,4.095238095238095,2.047065262876636,5,1,7,21
depress,3.9523809523809526,2.0365704131257156,4,1,7,21
deprive,3.7142857142857144,2.052872551885702,4,1,7,21
depth,2.6,2.101586702153082,1,1,7,25
derail,2.347826086956522,1.7217511078754548,2,1,7,23
derive,2.9411764705882355,1.9833868834425028,2,1,7,17
dermatologist,4.521739130434782,2.19233302914314,5,1,7,23
descend,2.9583333333333335,2.1564698743178816,2,1,7,24
descendant,4.090909090909091,1.6592910393438378,4,1,7,22
descent,2.5,2.0644381225662256,1,1,7,22
describe,4.095238095238095,1.9976176286957898,4,1,7,21
description,2.9583333333333335,1.966660525659781,3,1,7,24
desert,1.9473684210526316,1.3112201362143716,1,1,5,19
deserter,3.28,1.9043809142780932,3,1,7,25
desertion,3.4782608695652173,2.171500637753267,4,1,7,23
deserve,3.6666666666666665,2.057154359296116,4,1,7,24
design,3.260869565217391,2.004934623834354,4,1,7,23
designate,4.142857142857143,1.8516401995451028,5,1,7,21
designer,4,1.8064212949190015,4,1,7,20
desirable,5.045454545454546,1.8120567826505283,5.5,1,7,22
desire,5.238095238095238,1.868281614338746,6,1,7,21
desolate,3.3636363636363638,2.08270553311368,3,1,7,22
despair,4.1,2.2454632624823536,4.5,1,7,20
desperado,3.4761904761904763,2.0154167712671147,3,1,7,21
desperation,3.727272727272727,1.8304779022564983,4,1,7,22
despicable,4.904761904761905,2.188715648611347,6,1,7,21
despise,5.208333333333333,1.6145847942957392,5.5,1,7,24
dessert,2.5,2.1100665753432883,1.5,1,7,22
destination,3.9523809523809526,2.2688364964490164,4,1,7,21
destiny,4.291666666666667,2.053187694816265,4,1,7,24
destitute,3.608695652173913,1.9711355849030645,4,1,7,23
destroy,4.2631578947368425,2.305599590927317,4,1,7,19
destroyer,4.478260869565218,2.1292244686609876,5,1,7,23
destruct,2.8636363636363638,1.753783788201264,2.5,1,6,22
destruction,3.727272727272727,2.2505410604863587,4,1,7,22
destructive,3.8636363636363638,2.2317077498004707,4.5,1,7,22
detach,3.3043478260869565,2.1199224387333278,3,1,7,23
detached,4.05,2.163695668842645,3.5,1,7,20
detail,2.8260869565217392,2.2289861925638563,2,1,7,23
detain,4.541666666666667,2.1463653132612386,5,1,7,24
detect,3.25,1.8939262186630001,3,1,7,24
detection,3.090909090909091,2.3075258015188744,2.5,1,7,22
detective,5.363636363636363,1.989148047961729,6,1,7,22
detector,2.4782608695652173,1.8554481256654882,2,1,7,23
detention,5.5,2.039091645032686,6.5,1,7,20
deter,3.761904761904762,1.5461164867099084,4,1,7,21
detergent,1.6,1.142481141154959,1,1,5,20
deteriorate,2.4285714285714284,1.7196345126633326,2,1,7,21
deteriorating,2.5454545454545454,1.7654696590094991,2,1,7,22
determine,2.85,2.007223796297028,2,1,7,20
deterrent,3.05,1.8771478925557026,3,1,7,20
detest,5,2,5,1,7,18
detonate,2,1.7837651700316894,1,1,6,23
detonation,2.2857142857142856,1.4192553379451192,2,1,5,21
detonator,2.217391304347826,1.5654369630794764,2,1,6,23
detriment,3.3181818181818183,2.0790648913660252,3,1,7,22
deuce,2.4,1.231174022502185,2,1,5,20
devastation,4.92,1.7776388834631178,5,1,7,25
develop,4.1,1.8324559303956276,4.5,1,7,20
developer,4.2105263157894735,2.175084860884003,4,1,7,19
development,4.478260869565218,2.2536750838129285,5,1,7,23
deviant,4.043478260869565,2.0108401877995092,4,1,7,23
deviate,3.1818181818181817,2.1075005199426267,3,1,7,22
deviation,2.9473684210526314,2.0675719579181737,2,1,7,19
device,2.590909090909091,1.943465018222936,2,1,7,22
devil,3.4347826086956523,2.2120760910084143,3,1,7,23
devilish,4.260869565217392,1.9357261100482501,4,1,7,23
devious,4.478260869565218,1.7547225944288771,5,1,7,23
devise,3.5238095238095237,1.600595127415038,4,1,7,21
devoid,2.9166666666666665,2.3941353466274657,2,1,7,24
devote,4.541666666666667,1.9995470501583856,5,1,7,24
devoted,5.173913043478261,1.8003073957987255,5,1,7,23
devotion,4.739130434782608,2.049775848152179,5,1,7,23
devour,3,2.23606797749979,2,1,7,19
devout,4.142857142857143,2.1745278633697542,5,1,7,21
dexterity,2.9545454545454546,1.9875151446508401,2.5,1,7,22
diabetes,3.0833333333333335,2.0198292365760864,3.5,1,7,24
diabetic,3.0454545454545454,1.6468519095902983,3,1,7,22
diabolical,3.5714285714285716,2.0632844828435215,3,1,7,21
diagnose,4.05,2.211810403980842,4,1,7,20
diagnosis,3.8,2.0615528128088303,4,1,7,25
diagram,1.5769230769230769,1.2384854273854633,1,1,5,26
dialect,5.523809523809524,1.8606194564995717,6,1,7,21
dialogue,6.3478260869565215,1.26522350350995,7,3,7,23
dialysis,2.5652173913043477,2.018687398838475,1,1,6,23
diameter,1.6,1.2909944487358056,1,1,7,25
diamond,3.0454545454545454,2.27778657655007,2,1,7,22
diaphragm,2.32,1.8867962264113207,1,1,7,25
diarrhea,1.380952380952381,0.7400128699009549,1,1,4,21
dicey,2.9130434782608696,1.9519930019961387,2,1,7,23
dickhead,4.956521739130435,1.8703004345331846,5,1,7,23
dictate,4.291666666666667,1.756458063130524,4,2,7,24
dictation,4.318181818181818,2.1687469201046037,4.5,1,7,22
dictatorship,6.285714285714286,1.0071175275436894,7,4,7,21
diction,4.318181818181818,2.1466776908108742,5,1,7,22
dictionary,2.8636363636363638,1.9589952367635655,2,1,7,22
die,3.75,2.6085144864629286,4,1,7,24
diesel,2.2777777777777777,2.1366701844515412,1,1,7,18
diet,3.391304347826087,2.0613131391682122,3,1,7,23
differ,3.9583333333333335,1.8528278426483,4,1,7,24
difference,3,2.1521103473958814,2.5,1,7,20
differential,2.608695652173913,1.9244628633083478,2,1,7,23
diffuse,3.772727272727273,2.0454785953372094,4,1,7,22
digest,2.5,1.7621756887140216,2,1,7,20
digestion,2.3333333333333335,1.9261736493723072,1,1,7,24
digestive,2,1.6681153124565982,1,1,7,24
dignified,5.095238095238095,1.670471846657761,6,1,7,21
dignify,5.173913043478261,1.8745223370487911,6,1,7,23
dignity,5.434782608695652,1.4086126945758222,6,2,7,23
dildo,2.5294117647058822,1.841115390830499,2,1,7,17
dilemma,3.8,2.015727634065883,4,1,7,20
diligence,4.454545454545454,1.9451349011186303,4.5,1,7,22
diligent,4.086956521739131,1.9980227380237892,4,1,7,23
dim,2.0476190476190474,1.8296499795368095,1,1,7,21
dimension,2.4347826086956523,1.804693047597688,2,1,7,23
diminish,2.7142857142857144,2.02837021134844,2,1,7,21
dimwit,4.0476190476190474,2.1558337244831867,5,1,7,21
dine,4.96,1.7435595774162693,5,1,7,25
